City_name,lat,long,max_temp,humidity,cloud,wind_speed,country
pisco,-13.7,-76.22,17.0,77,20,2.1,PE
nanchang,28.68,115.88,29.42,77,100,4.02,CN
soure,-0.72,-48.52,26.02,85,7,4.29,BR
comodoro rivadavia,-45.87,-67.5,7.0,81,100,2.1,AR
la ronge,55.1,-105.28,15.0,93,75,2.6,CA
chadan,51.28,91.58,18.47,64,75,0.7,RU
khorixas,-20.37,14.97,15.51,32,0,5.42,NA
puerto madero,14.72,-92.42,27.0,83,40,2.1,MX
valdemarpils,57.37,22.59,14.0,100,69,3.6,LV
kigoma,-4.88,29.63,22.3,70,0,1.23,TZ
katsuura,35.13,140.3,28.33,71,100,0.89,JP
cape coast,5.11,-1.25,24.55,89,100,4.39,GH
ust-kan,50.93,84.76,15.42,68,0,1.9,RU
ternate,0.8,127.4,28.21,74,65,3.66,ID
carutapera,-1.2,-46.02,25.14,85,0,2.67,BR
bulaevo,54.91,70.44,13.63,90,100,4.05,KZ
alekseyevsk,57.84,108.35,27.17,44,61,2.71,RU
teknaf,20.86,92.31,26.91,89,100,3.5,BD
cabo rojo,18.09,-67.15,29.44,77,0,0.89,PR
dubrovnik,42.65,18.09,26.0,47,2,1.0,HR
shar,49.59,81.05,22.39,41,97,7.18,KZ
ugoofaaru,5.67,73.0,28.49,78,100,4.62,MV
mayo,38.89,-76.51,30.0,58,1,2.1,US
ossora,59.24,163.07,10.08,94,100,4.87,RU
leeton,-34.57,146.4,8.33,100,0,3.1,AU
marawi,8.0,124.29,27.78,80,39,1.34,PH
alofi,-19.06,-169.92,24.0,88,90,8.2,NU
ambunti,-4.24,142.84,31.32,60,32,0.39,PG
solana beach,32.99,-117.27,25.0,64,1,4.1,US
hobyo,5.35,48.53,25.38,74,99,10.19,SO
bath,51.38,-2.36,13.89,89,100,3.23,GB
pevek,69.7,170.31,6.55,76,95,8.17,RU
nelson bay,-32.72,152.15,18.33,67,75,7.2,AU
sarkand,45.41,79.92,17.32,63,96,1.98,KZ
lima,-12.04,-77.03,16.0,77,90,3.6,PE
okato,-39.2,173.88,13.33,51,53,1.79,NZ
saint-joseph,-21.37,55.62,16.0,77,42,4.1,RE
antofagasta,-23.65,-70.4,14.0,76,20,1.0,CL
ondangwa,-17.92,15.95,13.0,47,0,2.1,NA
goure,13.98,10.27,31.67,47,14,1.79,NE
wembley,-31.93,115.8,12.78,76,0,8.2,AU
kupang,-10.17,123.58,27.0,65,20,5.1,ID
san cristobal,7.77,-72.22,28.0,54,40,5.7,VE
san javier,37.81,-0.84,24.0,100,20,1.5,ES
lahij,13.17,44.58,30.31,47,96,2.82,YE
airai,-8.93,125.41,18.81,68,1,2.66,TL
gejiu,23.31,103.16,16.6,100,100,1.14,CN
shubarkuduk,49.14,56.49,18.51,45,27,3.1,KZ
jos,9.92,8.9,20.05,86,87,2.58,NG
avera,33.19,-82.53,31.0,55,1,1.5,US
okakarara,-20.58,17.43,6.16,62,0,2.14,NA
aykhal,66.0,111.5,11.0,71,75,4.0,RU
oktyabrskoye,43.06,44.74,17.0,82,0,2.0,RU
berdigestyakh,62.1,126.7,19.84,47,22,5.73,RU
vitim,59.45,112.56,24.84,38,100,2.39,RU
turukhansk,65.82,87.98,21.93,55,100,4.62,RU
ambilobe,-13.2,49.05,18.25,76,100,1.3,MG
severo-yeniseyskiy,60.37,93.04,23.41,51,0,1.92,RU
sibu,2.3,111.82,24.0,94,40,2.1,MY
novikovo,51.15,37.89,17.42,74,71,1.56,RU
lumeje,-11.55,20.78,12.65,56,0,2.39,AO
southbridge,42.08,-72.03,24.44,87,89,0.29,US
yacuiba,-22.04,-63.68,8.74,58,0,1.28,BO
tateyama,34.98,139.87,25.56,65,75,4.6,JP
oussouye,12.48,-16.55,25.0,94,20,1.0,SN
cayenne,4.93,-52.33,26.0,94,20,4.09,GF
merrill,45.18,-89.68,30.0,69,90,4.1,US
lundazi,-12.29,33.18,13.01,86,0,4.42,ZM
iqaluit,63.75,-68.51,7.0,81,75,2.6,CA
dzialdowo,53.24,20.17,13.0,100,100,0.74,PL
barcelos,41.54,-8.62,15.56,87,0,2.1,PT
sukumo,32.93,132.73,21.35,90,100,3.42,JP
noumea,-22.28,166.46,23.0,49,75,3.6,NC
verkhoyansk,67.54,133.38,20.9,35,0,4.96,RU
constitucion,-35.33,-72.42,9.93,79,98,1.81,CL
itaituba,-4.28,-55.98,24.34,89,99,0.34,BR
pouebo,-20.4,164.57,21.84,62,90,6.53,NC
wellington,-41.29,174.78,11.11,76,1,2.6,NZ
dustlik,40.52,68.04,16.2,39,0,1.5,UZ
baraki barak,33.97,68.95,18.32,28,0,1.34,AF
cap malheureux,-19.98,57.61,21.67,74,2,4.47,MU
puri,19.8,85.85,29.0,94,40,1.0,IN
sisimiut,66.94,-53.67,8.89,69,0,5.01,GL
davidson,36.15,-86.78,32.22,66,1,2.6,US
puerto lleras,3.02,-73.4,22.74,97,100,0.99,CO
sompeta,18.93,84.6,29.8,76,100,1.55,IN
starobaltachevo,56.0,55.92,11.63,96,59,2.73,RU
cortez,37.35,-108.59,31.0,15,1,3.6,US
surt,31.21,16.59,22.89,75,0,0.47,LY
takoradi,4.88,-1.76,24.66,88,97,4.33,GH
raudeberg,61.99,5.14,6.67,91,100,6.29,NO
hauterive,46.09,3.45,16.0,77,62,1.0,FR
tura,25.52,90.22,24.02,99,100,2.92,IN
mehamn,71.04,27.85,7.09,85,100,9.78,NO
marsh harbour,26.54,-77.06,29.29,67,97,3.68,BS
bud,39.45,-86.18,30.0,42,1,3.6,US
nantucket,41.28,-70.1,21.67,88,1,4.6,US
halifax,44.65,-63.57,21.67,79,41,3.01,CA
toul,48.67,5.92,16.0,77,90,3.1,FR
semey,50.41,80.23,19.0,68,95,3.0,KZ
naze,28.37,129.48,27.0,100,75,4.6,JP
goderich,43.75,-81.72,25.56,61,0,0.77,CA
priiskovyy,51.93,116.63,25.72,45,0,1.48,RU
potsdam,52.4,13.07,17.78,86,95,1.46,DE
biak,-0.91,122.88,25.64,80,81,4.13,ID
kirakira,-10.45,161.92,27.27,79,100,6.55,SB
totonicapan,14.92,-91.37,13.89,75,100,0.45,GT
waipawa,-41.41,175.52,10.0,76,4,2.6,NZ
arkhangelskoye,55.85,35.33,15.46,99,61,2.98,RU
rezekne,56.5,27.32,12.18,96,100,3.35,LV
iskateley,67.68,53.15,14.24,82,100,5.4,RU
sun city west,33.66,-112.34,40.0,16,1,4.1,US
puerto escondido,15.85,-97.07,27.97,71,49,1.9,MX
zyryanka,65.75,150.85,7.21,87,100,5.8,RU
arman,59.7,150.17,15.21,56,0,3.88,RU
general roca,-39.03,-67.58,6.0,93,75,1.0,AR
pedro betancourt,22.73,-81.29,26.0,88,75,1.5,CU
russell,32.35,-85.2,29.0,78,1,3.1,US
natal,-5.79,-35.21,24.0,94,20,1.5,BR
kasungu,-13.03,33.48,11.31,90,0,2.26,MW
gilgit,35.92,74.31,24.69,29,51,0.87,PK
sri aman,1.24,111.46,24.0,94,20,2.6,MY
fortuna,40.6,-124.16,18.33,67,20,6.2,US
magnolia,33.27,-93.24,33.33,70,1,3.1,US
saint-augustin,51.23,-58.65,7.81,88,1,1.35,CA
beni suef,29.07,31.1,23.69,46,0,3.45,EG
belmonte,-15.86,-38.88,23.0,88,0,2.1,BR
plettenberg bay,-34.05,23.37,14.21,76,50,4.23,ZA
ostrovnoy,68.05,39.51,11.63,71,0,4.02,RU
hornepayne,49.21,-84.77,22.73,78,5,3.82,CA
dunedin,-45.87,170.5,7.22,77,0,1.34,NZ
savyntsi,49.4,37.06,17.68,72,0,2.24,UA
paragominas,-2.97,-47.48,23.22,91,35,2.08,BR
banjar,-8.19,114.97,25.0,100,40,1.0,ID
ler,8.3,30.14,20.62,95,46,1.47,SS
pahrump,36.21,-115.98,37.22,11,0,4.02,US
wajir,1.75,40.06,22.39,72,97,6.61,KE
rio gallegos,-51.62,-69.22,-1.0,100,90,3.6,AR
xuddur,4.12,43.89,21.13,75,100,9.09,SO
itupiranga,-5.13,-49.33,25.0,83,12,0.57,BR
uyutne,45.2,33.3,23.07,73,0,3.42,UA
port hawkesbury,45.62,-61.35,19.0,82,90,4.1,CA
panaba,21.28,-88.27,25.74,83,98,3.6,MX
asyut,27.18,31.18,26.0,34,0,3.6,EG
benghazi,32.12,20.07,24.26,79,0,4.2,LY
farah,32.5,62.5,23.14,20,0,2.38,AF
vila franca do campo,37.72,-25.43,17.0,77,20,1.0,PT
touba,8.28,-7.68,21.27,95,94,3.01,CI
oranjestad,12.52,-70.03,29.0,74,20,9.8,AW
bandarbeyla,9.49,50.81,27.24,54,20,15.0,SO
jalu,29.03,21.55,26.39,40,0,4.52,LY
teahupoo,-17.83,-149.27,30.0,66,20,9.8,PF
qianan,44.99,124.06,28.05,44,98,2.21,CN
hit,33.64,42.83,29.85,18,0,2.72,IQ
bat yam,32.02,34.75,23.0,73,0,2.1,IL
saint-georges,12.06,-61.75,28.0,78,20,8.2,GD
mingshui,36.72,117.5,24.44,86,99,4.01,CN
savannah bight,16.45,-85.85,28.12,73,100,6.29,HN
impfondo,1.64,18.07,22.14,91,16,0.18,CG
vagur,61.47,-6.81,8.01,73,44,1.35,FO
kudahuvadhoo,2.67,72.89,28.77,67,76,1.8,MV
marang,5.21,103.21,27.0,94,40,1.5,MY
moen,69.13,18.61,6.0,87,9,8.2,NO
port blair,11.67,92.75,28.56,79,100,7.05,IN
ayan,56.45,138.17,14.19,75,98,1.26,RU
boden,65.83,21.69,12.0,66,100,2.6,SE
dingle,11.0,122.67,29.51,70,90,0.88,PH
svobodnyy,51.4,128.13,21.63,76,100,5.92,RU
yulara,-25.24,130.99,12.0,50,10,5.7,AU
verkhnyaya inta,65.98,60.31,13.73,78,98,3.57,RU
molteno,-31.4,26.36,3.56,64,0,2.25,ZA
puerto suarez,-18.95,-57.8,15.43,59,56,1.31,BO
uglovskoye,51.36,80.19,20.83,60,3,4.06,RU
north myrtle beach,33.82,-78.68,26.67,88,71,1.82,US
mayahi,13.96,7.67,31.58,46,1,5.06,NE
kondopoga,62.21,34.26,10.0,93,99,1.0,RU
tabas,33.6,56.92,33.0,16,17,2.1,IR
lerwick,60.15,-1.15,9.0,93,100,6.7,GB
vagay,57.94,69.02,13.16,80,27,2.95,RU
porbandar,21.64,69.61,29.9,78,17,5.28,IN
byron bay,-28.65,153.62,20.0,77,0,3.33,AU
tanete,-3.94,119.78,27.3,74,79,4.0,ID
yatou,37.15,122.38,22.24,71,100,2.92,CN
flinders,-34.58,150.86,14.44,59,0,5.36,AU
turbat,26.0,63.04,28.84,76,3,0.98,PK
parrita,9.52,-84.32,21.0,94,75,1.64,CR
kurri kurri,-32.82,151.48,16.67,69,0,0.89,AU
sistranda,63.73,8.83,9.0,87,40,3.6,NO
gisborne,-38.65,178.0,12.22,53,47,4.02,NZ
santa cruz,-17.8,-63.17,18.0,55,90,1.5,BO
sfantu gheorghe,45.87,25.78,18.89,85,0,0.96,RO
moengo,5.62,-54.4,23.7,96,100,1.3,SR
arivonimamo,-19.02,47.18,12.0,87,75,2.6,MG
jumla,29.27,82.18,18.91,64,58,0.71,NP
santa rosa,14.31,121.11,31.67,68,100,2.68,PH
buchanan,5.88,-10.05,24.0,100,75,3.62,LR
lermontovka,47.15,134.34,23.85,39,0,2.37,RU
saint paul,44.94,-93.09,31.67,48,1,3.6,US
egvekinot,66.32,-179.17,8.91,65,14,3.08,RU
dargaville,-35.93,173.88,13.37,57,13,2.47,NZ
gravdal,68.12,13.5,5.0,86,20,1.5,NO
labuhan,-6.88,112.21,26.28,77,9,1.56,ID
wanning,18.8,110.4,29.28,77,100,4.16,CN
boyarka,50.32,30.3,22.78,82,100,2.0,UA
voyinka,45.87,33.99,23.2,68,0,2.5,UA
santa maria,-29.68,-53.81,5.08,85,0,1.01,BR
puro,12.48,123.38,29.44,70,5,2.65,PH
nakusp,50.25,-117.8,14.44,84,36,1.79,CA
cherskiy,68.75,161.3,6.06,91,100,1.87,RU
pangai,-19.8,-174.35,25.0,61,20,5.7,TO
hualmay,-11.1,-77.61,15.82,84,36,3.71,PE
amberieu-en-bugey,45.96,5.34,17.0,77,4,2.1,FR
castrillon,43.4,-6.79,15.0,82,90,2.6,ES
khani,41.96,42.96,19.0,93,19,1.5,GE
juan lacaze,-34.43,-57.44,5.56,89,0,4.91,UY
durant,33.99,-96.37,26.0,74,1,3.26,US
pervomayskiy,53.25,40.29,16.78,86,0,3.76,RU
garden city,42.33,-83.33,32.0,51,20,3.6,US
challans,46.84,-1.87,13.89,93,0,2.1,FR
nuuk,64.18,-51.72,11.0,57,20,3.1,GL
mabaruma,8.2,-59.78,23.93,96,100,1.8,GY
boundiali,9.52,-6.49,23.42,81,5,2.21,CI
mandera,3.94,41.87,24.74,55,27,7.35,KE
nouadhibou,20.93,-17.03,20.0,88,0,5.1,MR
ilulissat,69.22,-51.1,9.0,66,98,1.5,GL
eyl,7.98,49.82,26.94,50,8,13.41,SO
brusque,-27.1,-48.92,15.0,67,20,3.1,BR
aykino,62.22,49.99,11.99,96,0,1.36,RU
kattivakkam,13.22,80.32,27.0,83,75,4.6,IN
ayna,-12.65,-73.92,16.35,66,37,0.71,PE
blagoyevo,63.37,47.92,11.92,94,0,1.54,RU
la libertad,-2.23,-80.9,22.0,88,90,4.6,EC
lincoln,40.8,-96.67,29.44,62,75,5.1,US
sebinkarahisar,40.29,38.42,13.09,87,0,0.52,TR
ron phibun,8.18,99.85,27.0,94,75,2.46,TH
namatanai,-3.67,152.43,28.21,76,26,2.38,PG
wajima,37.4,136.9,21.0,83,75,3.6,JP
weiser,44.25,-116.97,27.0,22,1,2.6,US
kinablangan,7.69,126.55,28.65,68,3,1.07,PH
bulungu,-4.55,18.6,23.36,54,0,0.39,CD
rawson,-43.3,-65.1,7.96,66,0,5.12,AR
sarakhs,36.54,61.16,23.0,28,0,2.1,IR
ishigaki,24.34,124.16,30.0,89,75,4.6,JP
rudnichnyy,59.62,52.47,11.52,98,30,1.27,RU
vao,-22.67,167.48,20.59,59,17,6.42,NC
kropotkin,45.44,40.58,19.51,53,0,3.17,RU
kantang,7.41,99.52,26.0,100,20,0.33,TH
mumford,5.26,-0.76,24.59,89,100,4.71,GH
neiafu,-18.65,-173.98,23.0,88,90,2.6,TO
havoysund,71.0,24.66,6.0,93,75,8.7,NO
floyita,40.27,23.22,26.11,62,0,1.33,GR
mandalgovi,45.76,106.27,18.32,57,0,3.62,MN
cheremukhovo,60.35,59.99,11.16,69,100,0.84,RU
opuwo,-18.06,13.84,14.37,38,0,4.93,NA
wuxi,31.57,120.29,26.11,95,100,0.45,CN
sovetsk,55.08,21.88,12.16,93,60,2.12,RU
kastamonu,41.5,33.67,13.25,84,0,0.28,TR
karangasem,-8.45,115.62,25.0,100,40,1.0,ID
bahia honda,22.9,-83.16,26.65,83,49,2.62,CU
okahandja,-21.98,16.92,11.0,32,0,3.1,NA
praya,14.92,-23.51,25.0,83,75,5.7,CV
fort nelson,58.81,-122.7,17.0,82,75,6.7,CA
sao filipe,14.9,-24.5,24.02,83,39,3.45,CV
sioux lookout,50.1,-91.92,30.0,37,5,2.6,CA
luorong,24.41,109.61,28.42,82,100,2.98,CN
sudak,44.85,34.97,23.98,70,2,3.38,UA
san blas,21.52,-105.27,26.0,74,75,6.2,MX
broome,42.25,-75.83,27.0,44,20,3.1,US
alvaraes,-3.22,-64.8,23.86,94,100,0.45,BR
cairns,-16.92,145.77,24.0,69,6,6.7,AU
tsurugi,36.45,136.63,22.78,88,75,2.6,JP
aklavik,68.22,-135.01,9.0,70,90,5.7,CA
erenhot,43.65,111.98,24.46,41,2,1.97,CN
upata,8.01,-62.4,26.11,87,100,2.63,VE
mahibadhoo,3.78,72.97,28.74,71,100,3.12,MV
sola,-13.88,167.55,25.6,81,29,11.61,VU
beyneu,45.32,55.2,22.24,22,0,4.0,KZ
xam nua,20.42,104.04,23.46,89,100,0.62,LA
camabatela,-8.19,15.38,14.08,91,0,0.72,AO
thinadhoo,0.53,72.93,29.01,64,96,1.1,MV
cunha,-23.07,-44.96,13.0,82,53,1.0,BR
fairhope,30.52,-87.9,27.78,78,1,1.5,US
matias romero,16.88,-95.03,25.93,81,76,2.58,MX
lorengau,-2.02,147.27,28.39,77,10,4.45,PG
nador,35.17,-2.93,29.0,28,100,7.2,MA
fairlie,55.76,-4.86,10.0,87,100,0.28,GB
eskisehir,39.78,30.52,17.0,82,0,2.6,TR
colac,-38.33,143.58,6.11,99,100,0.45,AU
warrington,53.39,-2.58,14.0,82,92,2.6,GB
muzhi,65.37,64.67,14.98,63,76,2.54,RU
magalia,39.81,-121.58,33.33,24,20,6.7,US
martapura,-3.42,114.85,25.0,100,40,1.0,ID
barabai,-2.58,115.38,27.24,76,52,0.32,ID
gushikawa,26.35,127.87,29.0,83,75,3.6,JP
hervey bay,-25.3,152.85,20.0,75,0,2.68,AU
hokitika,-42.72,170.97,10.49,57,2,1.46,NZ
zaoyang,32.13,112.75,26.02,80,100,1.25,CN
mao,39.89,4.27,23.0,83,0,5.1,ES
pilar,-9.6,-35.96,23.0,94,40,1.5,BR
xuanhua,40.61,115.04,18.11,85,100,0.33,CN
la paz,-16.5,-68.15,1.0,24,33,3.1,BO
arica,-18.48,-70.3,16.0,72,75,1.5,CL
baykit,61.67,96.37,24.78,43,0,2.59,RU
corozal,9.32,-75.29,24.67,93,100,3.13,CO
asmar,35.03,71.36,25.26,24,0,4.45,AF
manacapuru,-3.3,-60.62,25.0,94,40,1.7,BR
monze,-16.28,27.48,9.81,77,0,1.3,ZM
toora-khem,52.47,96.11,21.57,52,0,1.03,RU
debar,41.52,20.53,21.0,88,0,2.1,MK
eenhana,-17.47,16.33,13.0,47,0,2.1,NA
champerico,14.3,-91.92,25.0,94,75,4.89,GT
srednekolymsk,67.45,153.68,5.26,88,100,2.97,RU
lasa,46.62,10.7,15.0,100,75,2.1,IT
gifhorn,52.48,10.55,15.0,87,2,2.82,DE
pelym,61.01,62.0,12.49,71,81,2.01,RU
whitianga,-36.83,175.7,13.89,70,0,1.79,NZ
luwuk,-0.95,122.79,26.01,77,84,3.38,ID
maniitsoq,65.42,-52.9,8.62,70,0,5.94,GL
nizhniy odes,63.64,54.86,12.64,86,99,2.83,RU
banepa,27.63,85.52,22.0,94,75,1.5,NP
sao lourenco do sul,-31.37,-51.98,9.0,76,90,3.1,BR
kakamega,0.28,34.75,15.26,89,51,1.52,KE
